month,violence,repression,security,total_events,elite_coop,elite_conflict
1920-01-01,161.5,5.0,14.700000000000001,535,92,15
2005-02-01,0.0,0.0,0.0,1,0,0
2005-04-01,0.0,0.0,0.0,1,0,0
2006-05-01,0.0,0.0,0.0,1,1,0
2006-09-01,0.0,0.0,0.0,1,0,0
2006-11-01,9.0,0.0,0.0,1,0,0
2006-12-01,0.0,0.0,0.0,1,0,0
2007-02-01,0.0,0.0,0.0,3,0,0
2007-03-01,0.0,0.0,0.0,1,0,1
2007-04-01,0.0,0.0,0.0,1,0,0
2007-05-01,0.0,0.0,0.0,1,0,0
2007-06-01,0.0,0.0,0.0,2,1,0
2007-10-01,0.0,0.0,0.0,1,1,0
2007-11-01,0.0,0.0,0.0,1,0,0
2008-01-01,0.0,0.0,0.0,2,0,0
2008-03-01,0.0,0.0,0.0,1,0,0
2008-07-01,0.0,0.0,0.0,1,0,0
2008-08-01,0.0,0.0,0.0,1,0,0
2008-10-01,0.0,0.0,0.0,2,0,0
2008-11-01,19.0,0.0,0.0,2,0,0
2008-12-01,0.0,0.0,0.0,2,0,0
2009-01-01,0.0,0.0,0.0,2,0,0
2009-05-01,0.0,0.0,0.0,6,0,0
2010-01-01,0.0,0.0,0.0,1,0,0
2010-03-01,0.0,5.0,0.0,1,0,0
2010-05-01,10.0,0.0,0.0,1,0,0
2010-06-01,0.0,0.0,0.0,2,0,0
2010-07-01,0.0,0.0,0.0,3,0,0
2010-08-01,0.0,0.0,0.0,1,0,0
2010-12-01,0.0,0.0,0.0,1,0,0
2011-04-01,0.0,0.0,0.0,6,2,0
2011-05-01,0.0,0.0,0.0,2,0,0
2012-01-01,0.0,0.0,0.0,4,0,0
2012-03-01,0.0,0.0,0.0,1,0,0
2012-08-01,0.0,0.0,0.0,1,0,0
2012-09-01,0.0,0.0,0.0,2,0,0
2012-11-01,0.0,0.0,0.0,1,0,0
2013-03-01,0.0,0.0,0.0,2,0,2
2013-04-01,0.0,5.0,0.0,5,0,0
2013-05-01,21.6,0.0,21.6,3,0,0
2013-06-01,0.0,0.0,16.6,8,4,4
2013-07-01,0.0,0.0,0.0,2,0,0
2013-09-01,0.0,0.0,0.0,2,0,0
2014-01-01,0.0,0.0,0.0,2,2,0
2014-02-01,0.0,0.0,0.0,6,0,0
2014-03-01,18.0,0.0,0.0,59,8,9
2014-04-01,26.0,0.0,0.0,44,8,0
2014-05-01,88.0,10.0,0.0,77,9,9
2014-06-01,40.0,5.0,0.0,58,2,5
2014-07-01,20.0,15.0,5.0,75,11,8
2014-08-01,88.5,15.0,1.0,62,14,0
2014-09-01,55.2,10.0,0.0,68,12,2
2014-10-01,20.0,15.0,5.0,55,6,1
2014-11-01,0.0,0.0,0.0,47,4,6
2014-12-01,60.0,10.0,0.0,58,9,4
2015-01-01,89.0,0.0,0.0,65,10,8
2015-02-01,701.2,150.0,122.8,1306,245,66
2015-03-01,2695.8999999999996,580.0,347.6999999999999,4730,919,260
2015-04-01,2076.0,483.0,490.2,3799,798,251
2015-05-01,4738.999999999999,775.0,1036.9999999999995,6124,1461,396
2015-06-01,2623.4,680.0,339.90000000000003,4159,805,251
2015-07-01,2469.5,574.0,442.20000000000005,4852,967,324
2015-08-01,4583.7,444.0,419.5999999999999,4523,874,253
2015-09-01,5178.799999999999,765.0,1380.1000000000006,7016,1727,569
2015-10-01,2844.0,975.0,568.6999999999998,4687,890,247
2015-11-01,4656.999999999999,1404.0,1113.2999999999997,5513,1024,321
2015-12-01,3075.0,459.0,693.8999999999995,4132,823,195
2016-01-01,3123.2999999999993,602.0,612.0999999999999,4463,824,228
2016-02-01,2240.5000000000005,983.0,430.6999991953373,4996,1069,265
2016-03-01,4082.7999999999997,610.0,417.7000001430509,4667,866,176
2016-04-01,3102.7,774.0,619.5999999999999,4537,792,242
2016-05-01,3729.199999999998,540.0,694.8999999999997,5006,850,250
2016-06-01,6113.299999999998,634.0,584.3,11049,2020,662
2016-07-01,3808.499999999999,455.0,915.4999999999997,7729,2346,498
2016-08-01,3407.0999999999985,859.0,855.1999999999997,4903,813,196
2016-09-01,2899.7999999999997,809.0,584.7999999999997,5552,1279,305
2016-10-01,3864.099999999996,985.0,1019.8000000000001,7473,2051,534
2016-11-01,2915.9,460.0,659.6999999999994,6383,1699,318
2016-12-01,2919.5,645.0,911.7999999999992,4948,1090,368
2017-01-01,6399.199999999999,695.0,698.4999999999997,9283,2573,1088
2017-02-01,3126.5999999999995,390.0,652.9999999999995,4918,1074,400
2017-03-01,6266.999999999999,772.0,685.3999999999997,10159,2632,814
2017-04-01,2980.3999999999996,430.0,378.7999999999998,5307,1065,333
2017-05-01,3816.999999999998,578.0,732.7999999999998,4638,733,200
2017-06-01,5148.999999999999,699.0,908.1999999999992,14416,5347,1284
2017-07-01,2836.6,580.0,498.5999999999999,5672,1440,420
2017-08-01,1714.1000000000004,495.0,628.0999999999996,4381,868,235
2017-09-01,3228.399999999999,339.0,616.3999999999997,6654,1810,481
2017-10-01,3078.7,500.0,449.89999999999986,6697,1693,373
2017-11-01,3363.3,554.0,496.49999999999994,5918,1423,405
2017-12-01,2091.8,489.0,227.00000000000006,6070,1597,422
2018-01-01,3500.499999999999,679.0,499.29999999999984,5432,1369,351
2018-02-01,2475.1,385.0,263.50000000000006,6015,1609,380
2018-03-01,3538.0,465.0,438.70000000000005,6736,1665,410
2018-04-01,3015.199999999999,454.0,712.2999999999995,5026,1257,304
2018-05-01,2926.6,509.0,736.2999999999998,5820,1403,467
2018-06-01,3108.4,600.0,469.2,6287,1512,549
2018-07-01,3674.199999999998,400.0,332.5999999999999,6559,1775,503
2018-08-01,3008.7999999999997,527.0,735.5999999999996,5126,1006,252
2018-09-01,4055.0,662.0,777.8999999999996,8116,1939,760
2018-10-01,4872.999999999999,713.0,838.4999999999999,10599,2709,976
2018-11-01,5227.5999999999985,1213.0,1031.7999999999997,13987,4256,1661
2018-12-01,4607.799999999999,770.0,448.0,8689,2666,1042
2019-01-01,7647.599999999998,870.0,389.49999999999994,10833,3136,1169
2019-02-01,4767.8,753.0,590.4,8413,2369,655
2019-03-01,7362.999999999998,1254.0,1230.8999999999992,12460,3733,1485
2019-04-01,9721.3,2064.0,661.3999999999996,8743,1787,517
2019-05-01,5498.099999999999,1151.0,1091.9999999999989,7888,1790,644
2019-06-01,3578.899999999999,555.0,482.49999999999983,5248,1047,291
2019-07-01,4509.7,567.0,774.5999999999995,9100,2725,891
2019-08-01,4567.499999999997,377.0,928.3999999999993,7543,2021,528
2019-09-01,5474.299999999997,620.0,653.9999999999997,9769,2598,945
2019-10-01,8244.899999999998,2479.0,658.0999999999997,14894,3753,1272
2019-11-01,3866.0,1648.0,618.0999999999997,6286,1019,303
2019-12-01,3940.9999999999995,775.0,719.4999999999995,7466,1699,434
2020-01-01,3181.3999999999996,610.0,460.3999999999999,6676,1774,430
2020-02-01,3771.7999999999993,747.0,641.0999999999996,6851,1683,413
2020-03-01,3656.599999999999,529.0,493.1,6798,1907,360
2020-04-01,2612.5,602.0,444.7,6820,1889,434
2020-05-01,2775.8,505.0,631.6999999999999,7743,2141,649
2020-06-01,3190.1999999999975,413.0,301.8,6739,1844,401
2020-07-01,2395.8,567.0,402.59999999999985,7778,2096,410
2020-08-01,1814.1000000000001,478.0,348.40000000000003,6948,1706,446
2020-09-01,4644.5,713.0,439.6999999999997,12965,3621,1428
2020-10-01,2473.9,353.0,314.7,6457,1657,467
2020-11-01,3177.6999999999994,532.0,403.5,7030,1995,485
2020-12-01,4494.7,520.0,452.59999999999985,11117,2939,717
2021-01-01,3969.099999999998,529.0,1005.2999999999998,9519,2515,591
2021-02-01,3339.699999999999,437.0,842.6999999999998,8775,2376,572
