month,psni_shootings,psni_bombings,psni_para_shootings,psni_para_assaults,psni_s41_arrests
2015-02-01,5.0,10.0,3.0,3.0,12.0
2015-03-01,8.0,3.0,8.0,11.0,13.0
2015-04-01,6.0,4.0,0.0,6.0,7.0
2015-05-01,1.0,7.0,0.0,2.0,12.0
2015-06-01,3.0,1.0,1.0,6.0,16.0
2015-07-01,3.0,3.0,1.0,3.0,7.0
2015-08-01,3.0,4.0,1.0,6.0,12.0
2015-09-01,3.0,3.0,2.0,4.0,26.0
2015-10-01,4.0,6.0,2.0,7.0,20.0
2015-11-01,4.0,9.0,3.0,6.0,10.0
2015-12-01,3.0,2.0,2.0,4.0,18.0
2016-01-01,2.0,1.0,1.0,2.0,0.0
2016-02-01,2.0,3.0,1.0,5.0,4.0
2016-03-01,2.0,9.0,0.0,7.0,17.0
2016-04-01,4.0,0.0,2.0,3.0,7.0
2016-05-01,6.0,0.0,2.0,4.0,21.0
2016-06-01,6.0,0.0,5.0,3.0,5.0
2016-07-01,6.0,5.0,1.0,9.0,15.0
2016-08-01,4.0,4.0,2.0,8.0,15.0
2016-09-01,2.0,1.0,1.0,7.0,10.0
2016-10-01,6.0,0.0,2.0,9.0,9.0
2016-11-01,3.0,1.0,1.0,4.0,14.0
2016-12-01,6.0,3.0,2.0,4.0,6.0
2017-01-01,7.0,4.0,4.0,6.0,8.0
2017-02-01,7.0,5.0,4.0,5.0,10.0
2017-03-01,4.0,6.0,2.0,4.0,17.0
2017-04-01,2.0,1.0,1.0,6.0,11.0
2017-05-01,4.0,1.0,1.0,11.0,7.0
2017-06-01,3.0,1.0,2.0,6.0,16.0
2017-07-01,6.0,2.0,3.0,8.0,9.0
2017-08-01,3.0,4.0,1.0,6.0,23.0
2017-09-01,7.0,2.0,1.0,6.0,20.0
2017-10-01,6.0,1.0,2.0,6.0,22.0
2017-11-01,3.0,2.0,3.0,7.0,15.0
2017-12-01,6.0,0.0,4.0,2.0,13.0
2018-01-01,6.0,1.0,4.0,4.0,4.0
2018-02-01,2.0,3.0,0.0,1.0,17.0
