,coef,se,t,p,model,nobs,adj_r2
const,3.316260715789002,0.8308483530433941,3.9914151645622846,6.56801839619288e-05,M1_psni_only,130,0.3978427437800539
nv_lag1,0.6210896882937846,0.09493999602281222,6.541918204257655,6.073472074145332e-11,M1_psni_only,130,0.3978427437800539
psni_index_lag1,0.004298672094892361,0.004416492501814043,0.973322629468229,0.33039297891405994,M1_psni_only,130,0.3978427437800539
const,3.5420865994955557,0.9001294509572118,3.9350857765278597,8.316698779322121e-05,M2_psni_stormont,130,0.40683783194135836
nv_lag1,0.5978901797612972,0.10169263404024506,5.879385320323997,4.1179277685215584e-09,M2_psni_stormont,130,0.40683783194135836
psni_index_lag1,0.005796757632088152,0.004224872488584452,1.3720550496496433,0.17004630124988984,M2_psni_stormont,130,0.40683783194135836
stormont_suspended,-0.049881015185001626,0.03052100374283359,-1.6343176523712402,0.10219216901778144,M2_psni_stormont,130,0.40683783194135836
const,3.6603757215765285,0.8424371823564908,4.344983576505508,1.3928608375967121e-05,M3_horserace,130,0.40115819299168665
nv_lag1,0.5722047058875362,0.0983831936995241,5.816081836447887,6.024298164951854e-09,M3_horserace,130,0.40115819299168665
instability_lag1,0.11209950685349973,0.09572387217321555,1.1710715865176444,0.2415700037044819,M3_horserace,130,0.40115819299168665
psni_index_lag1,0.0038873834115382352,0.0042579741047337845,0.9129654892021193,0.36126069229542734,M3_horserace,130,0.40115819299168665
const,0.29158006894930155,0.053403411410823304,5.459952112538766,4.762630267045714e-08,M4_evenness_dv,130,0.3919692949349233
pielou_J_lag1,0.5923047387856912,0.07439803176950087,7.961295812512393,1.7024682739946967e-15,M4_evenness_dv,130,0.3919692949349233
instability_lag1,0.006610396382855252,0.00864955238378084,0.764247222232066,0.4447199304412389,M4_evenness_dv,130,0.3919692949349233
const,0.30670246090999376,0.0683144741047189,4.489567766266504,7.136784080200163e-06,M5_evenness_psni,130,0.40618976378589233
pielou_J_lag1,0.5814223297883973,0.09243490915491541,6.290073037384263,3.173166400204313e-10,M5_evenness_psni,130,0.40618976378589233
psni_index_lag1,-0.00034123455550595953,0.0003638749060694524,-0.937779851850593,0.34835755741883423,M5_evenness_psni,130,0.40618976378589233
stormont_suspended,-0.0049298802306454136,0.002773974467167106,-1.7771901973128126,0.07553695175156443,M5_evenness_psni,130,0.40618976378589233
