h,beta,se,p,ci_lo,ci_hi,p_bonferroni
0,-0.03943092900839293,0.03951621971230942,0.31835616079416473,-0.11688271964451939,0.038020861627733535,1.0
1,0.039539219172993786,0.04642539207641695,0.3943960141614614,-0.05145454929678343,0.130532987642771,1.0
2,-0.03903061112969884,0.0408459744199365,0.3392966596464858,-0.11908872099277439,0.0410274987333767,1.0
3,-0.003409876611299241,0.0456421754521,0.940446328213062,-0.09286854049741525,0.08604878727481677,1.0
4,-0.003493077848798095,0.046958021781683346,0.9407022580754693,-0.09553080054089745,0.08854464484330125,1.0
5,-0.0005372109212669375,0.04101734024654009,0.9895502720698633,-0.08093119780448552,0.07985677596195165,1.0
6,-0.006738348092603597,0.04086593837529862,0.8690312662578655,-0.0868355873081889,0.0733588911229817,1.0
7,-0.014244146257631334,0.05119315188476571,0.7808256769332513,-0.11458272395177213,0.08609443143650947,1.0
8,0.018651148952442576,0.04822437980432848,0.6989356147569614,-0.07586863546404124,0.11317093336892639,1.0
9,-0.07038866190079811,0.05348239798934706,0.188137482202427,-0.17521416195991835,0.03443683815832212,1.0
10,-0.08349062864878722,0.05015162660096204,0.09595982438255532,-0.18178781678667283,0.014806559489098384,1.0
11,-0.11241813579845064,0.04617778368369979,0.014913877752540626,-0.20292659181850223,-0.021909679778399055,0.19388041078302815
12,-0.06624962783599439,0.03642868970658612,0.06897074805457891,-0.1376498596609032,0.005150603988914412,0.8966197247095258
