,coef,se,t,p,model,nobs,adj_r2
const,3.5696532826353637,0.91145178664062,3.9164477320212403,8.986328755369538e-05,M2_inclusive_boundaries,130,0.40922975653003213
nv_lag1,0.59504805355675,0.10284328281029644,5.7859690715471315,7.209547923022956e-09,M2_inclusive_boundaries,130,0.40922975653003213
psni_index_lag1,0.0058930365364058684,0.004182523818514441,1.4089666412226127,0.1588450323390861,M2_inclusive_boundaries,130,0.40922975653003213
stormont_suspended,-0.05397100385740089,0.03098775306534923,-1.7416881999667064,0.08156301840878827,M2_inclusive_boundaries,130,0.40922975653003213
const,0.310526434974448,0.06979329713505904,4.449230051039705,8.61786706282094e-06,M5_inclusive_boundaries,130,0.40935156111093973
pielou_J_lag1,0.57657293895606,0.09428182695835867,6.115419668423631,9.63031858357543e-10,M5_inclusive_boundaries,130,0.40935156111093973
psni_index_lag1,-0.0003339641857293325,0.0003583079894482816,-0.9320589983035729,0.35130603606955313,M5_inclusive_boundaries,130,0.40935156111093973
stormont_suspended,-0.005392313105550288,0.002840042494359801,-1.8986733882535856,0.057607432593221444,M5_inclusive_boundaries,130,0.40935156111093973
const,3.504353107363251,0.8788059758742108,3.9876300384475893,6.673662605118751e-05,M2_caretaker_as_functioning,130,0.4046018353584139
nv_lag1,0.6016954517750922,0.09955406073065047,6.043906670999746,1.5042654772221943e-09,M2_caretaker_as_functioning,130,0.4046018353584139
psni_index_lag1,0.006296723157256837,0.004407969065082222,1.4284862403269574,0.15315195228545347,M2_caretaker_as_functioning,130,0.4046018353584139
stormont_suspended,-0.04737016532044855,0.03014924491986777,-1.5711891109164238,0.11613872863700427,M2_caretaker_as_functioning,130,0.4046018353584139
const,0.30620699022415754,0.06692310187312084,4.575505044651005,4.750725182273354e-06,M5_caretaker_as_functioning,130,0.4057719926589646
pielou_J_lag1,0.5817045520922884,0.09081014732969712,6.405721928633596,1.4965951419686394e-10,M5_caretaker_as_functioning,130,0.4057719926589646
psni_index_lag1,-0.0002736072093753074,0.00037295299575551544,-0.7336238413128798,0.46317802629360616,M5_caretaker_as_functioning,130,0.4057719926589646
stormont_suspended,-0.005067294122044354,0.0027811676164166527,-1.822002418025139,0.06845461875732832,M5_caretaker_as_functioning,130,0.4057719926589646
